topic,unmapped_sentence_count,name,representation,count_in_topic_info
87,167,87_immigrant_guy_he_parents,"['immigrant', 'guy', 'he', 'parents', 'his', 'an', 'maz', 'comedy', 'was', 'outsider']",167
142,166,142_ban_muslim_trump_countries,"['ban', 'muslim', 'trump', 'countries', 'travel', 'banned', 'muslims', 'he', 'majority', 'blocked']",166
101,166,101_christian_church_catholic_evangelicals,"['christian', 'church', 'catholic', 'evangelicals', 'evangelical', 'pope', 'religious', 'christians', 'religion', 'churches']",166
168,165,168_else_encouraging_immigration_difference,"['else', 'encouraging', 'immigration', 'difference', 'purposes', 'anything', 'whatever', 'something', 'exactly', 'happen']",165
425,163,425_less_keep_likely_more,"['less', 'keep', 'likely', 'more', 'than', 'harming', 'want', '40', 'legal', 'market']",163
153,161,153_blame_fault_blaming_blamed,"['blame', 'fault', 'blaming', 'blamed', 'functional', 'false', 'problems', 'feeling', 'immigrants', 'except']",161
102,155,102_veterans_va_veteran_vets,"['veterans', 'va', 'veteran', 'vets', 'homeless', 'care', 'resources', 'dental', 'health', 'aliens']",155
178,151,178_fight_fighting_fights_against,"['fight', 'fighting', 'fights', 'against', 'wars', 'works', 'criminalization', 'conflate', 'whatever', 'women']",151
329,149,329_means_na_shall_what,"['means', 'na', 'shall', 'what', 'blank', 'applications', 'more', 'citizenry', 'spaces', 'mali']",149
262,147,262_bush_mccain_george_kennedy,"['bush', 'mccain', 'george', 'kennedy', 'john', 'ted', 'reform', 'was', '2007', 'romney']",147
290,147,290_budget_parliamentarian_reconciliation_package,"['budget', 'parliamentarian', 'reconciliation', 'package', 'bill', 'senate', 'reform', 'trillion', 'include', 'through']",147
123,145,123_cap_125_refugee_000,"['cap', '125', 'refugee', '000', 'refugees', 'slashed', 'year', 'fiscal', 'obama', 'biden']",145
145,144,145_gender_transgender_surgeries_detained,"['gender', 'transgender', 'surgeries', 'detained', 'surgery', 'transition', 'taxpayer', 'prison', 'sex', 'operations']",144
550,140,550_african_americans_american_record,"['african', 'americans', 'american', 'record', 'migrants', 'race', 'countries', 'smith', 'from', 'community']",140
418,139,418_deal_deals_sides_ultimately,"['deal', 'deals', 'sides', 'ultimately', 'offered', 'bargain', 'still', 'with', 'perot', 'package']",139
438,138,438_built_euphemism_dismantlement_result,"['built', 'euphemism', 'dismantlement', 'result', 'country', 'seeing', 'processes', 'safe', 'embarrassing', 'orderly']",138
505,132,505_enter_permission_treated_without,"['enter', 'permission', 'treated', 'without', 'legally', 'entered', 'aliens', 'same', 'millions', 'illegally']",132
486,132,486_studies_center_todd_fellow,"['studies', 'center', 'todd', 'fellow', 'bensman', 'pew', 'vaughn', 'senior', 'benzeman', 'director']",132
451,131,451_lost_lives_told_their,"['lost', 'lives', 'told', 'their', 'who', 'people', 'about', 'illegal', 'loved', 'loss']",131
508,130,508_zero_net_shouldn_fantasy,"['zero', 'net', 'shouldn', 'fantasy', 'latin', 'correct', 'decreases', 'constant', 'stayed', 'should']",130
215,129,215_rights_amendment_constitutional_constitution,"['rights', 'amendment', 'constitutional', 'constitution', 'civil', 'second', 'blaine', 'citizens', 'aliens', 'excluded']",129
382,129,382_heading_relatively_soon_handle,"['heading', 'relatively', 'soon', 'handle', 'get', 'where', 'don', 'if', 'think', 'we']",129
282,129,282_florida_texas_state_floridians,"['florida', 'texas', 'state', 'floridians', 'debbie', 'sending', 'homestead', 'desantis', 'goods', 'living']",129
192,128,192_dead_trailer_bodies_truck,"['dead', 'trailer', 'bodies', 'truck', 'tractor', 'die', 'died', '53', 'found', 'scramble']",128
273,126,273_fox_news_murdoch_tracker,"['fox', 'news', 'murdoch', 'tracker', 'rupert', 'screen', 'corner', 'rundown', 'fear', 'infections']",126
112,126,112_skirt_loading_treat_promote,"['skirt', 'loading', 'treat', 'promote', 'allow', 'make', 'inevitability', 'bureaucracy', 'illegal', 'colossal']",126
381,124,381_facts_data_analysis_opinion,"['facts', 'data', 'analysis', 'opinion', 'chart', 'latest', 'pivot', 'morning', 'let', 'my']",124
286,119,286_possible_block_illegals_as,"['possible', 'block', 'illegals', 'as', 'many', 'better', 'off', 'thames', 'more', 'neither']",119
138,119,138_wait_structures_op_ed,"['wait', 'structures', 'op', 'ed', 'needing', 'fauci', 'enemy', 'immigration', 'sphere', 'reframe']",119
258,119,258_homeless_homelessness_shelters_shelter,"['homeless', 'homelessness', 'shelters', 'shelter', 'streets', 'laundry', 'francisco', 'mopeds', 'san', 'tents']",119
520,117,520_crossing_fewer_thousands_migrants,"['crossing', 'fewer', 'thousands', 'migrants', 'border', 'pace', 'pierre', 'jean', 'adult', 'corrine']",117
386,117,386_down_70_gone_wherever,"['down', '70', 'gone', 'wherever', 'upside', 'crack', 'numbers', 'doubled', 'seem', 'bringing']",117
185,117,185_tariffs_tariff_mexico_trade,"['tariffs', 'tariff', 'mexico', 'trade', 'goods', 'remain', 'impose', 'he', 'president', 'mexican']",117
229,117,229_look_looked_measured_legalizing,"['look', 'looked', 'measured', 'legalizing', 'angel', 'at', 'happened', 'shoulder', 'diverse', 'lots']",117
206,116,206_denver_chicago_city_colorado,"['denver', 'chicago', 'city', 'colorado', 'mayor', 'capita', 'cities', 'interstates', 'york', 'shelters']",116
512,115,512_control_controlling_nothing_controlled,"['control', 'controlling', 'nothing', 'controlled', 'measured', 'meritocratic', 'gain', 'diverse', 'out', 'yep']",115
433,112,433_important_link_becomes_most,"['important', 'link', 'becomes', 'most', 'tops', 'intend', 'ask', 'incredibly', 'consider', 'folks']",112
331,112,331_vetting_vetted_refugee_resettlement,"['vetting', 'vetted', 'refugee', 'resettlement', 'process', 'vet', 'excel', 'extremism', 'extreme', 'terrorism']",112
234,111,234_limit_strict_restrict_pull,"['limit', 'strict', 'restrict', 'pull', 'unrestricted', 'restricted', 'drains', 'restricts', 'restriction', 'downsides']",111
549,111,549_rapists_murderers_escalator_mexicans,"['rapists', 'murderers', 'escalator', 'mexicans', 'criminals', 'mexican', 'candidacy', 'calling', 'dealers', 'he']",111
174,109,174_massive_tsunami_seasonal_influx,"['massive', 'tsunami', 'seasonal', 'influx', 'higher', 'levels', 'waves', 'corrosive', 'nobody', 'tidal']",109
376,109,376_black_male_resonating_minority,"['black', 'male', 'resonating', 'minority', 'whites', 'shown', 'truly', 'midtown', 'neighborhoods', 'ritzy']",109
522,109,522_worst_ever_lawlessness_history,"['worst', 'ever', 'lawlessness', 'history', 'enforcement', 'degraded', 'audio', 'devote', 'terms', 'represented']",109
444,109,444_90_percent_seen_comes,"['90', 'percent', 'seen', 'comes', 'migration', 'presidencies', 'down', 'faster', 'claim', 'than']",109
355,108,355_elites_class_working_pockets,"['elites', 'class', 'working', 'pockets', 'liberal', 'median', 'elite', 'educated', 'middle', 'routine']",108
221,107,221_cnn_tapper_jake_times,"['cnn', 'tapper', 'jake', 'times', 'selena', 'msnbc', 'news', 'coverage', 'nbc', 'staged']",107
181,106,181_arizona_alabama_supreme_court,"['arizona', 'alabama', 'supreme', 'court', 'federal', 'supremacy', 'case', 'clause', 'law', 'versus']",106
176,105,176_laura_heritage_foundation_jessica,"['laura', 'heritage', 'foundation', 'jessica', 'director', 'center', 'rees', 'joining', 'studies', 'reese']",105
435,105,435_workers_golf_undocumented_skilled,"['workers', 'golf', 'undocumented', 'skilled', 'phrases', 'centerpiece', 'courses', 'farm', 'properties', 'diaz']",105
186,105,186_thousand_hundred_000_50,"['thousand', 'hundred', '000', '50', '110', 'migrants', 'sixty', 'ten', 'five', 'dropped']",105
272,103,272_lowest_45_rate_years,"['lowest', '45', 'rate', 'years', 'had', 'highest', 'inherited', 'year', 'low', 'arrow']",103
336,103,336_pennsylvania_erie_election_swing,"['pennsylvania', 'erie', 'election', 'swing', 'pollsters', 'charleroi', '150', 'county', 'flying', 'wisconsin']",103
264,101,264_state_every_affects_virtually,"['state', 'every', 'affects', 'virtually', 'border', 'harshest', 'becoming', 'across', 'single', 'mentioned']",101
370,100,370_emergency_declared_declaration_declare,"['emergency', 'declared', 'declaration', 'declare', 'paso', 'mayor', 'el', 'declarations', 'state', 'national']",100
287,99,287_2025_project_proposals_moose,"['2025', 'project', 'proposals', 'moose', 'vogt', 'round', 'agenda', 'bull', 'bennett', 'department']",99
372,97,372_worker_guest_programs_program,"['worker', 'guest', 'programs', 'program', 'assigning', 'agricultural', 'workers', 'gut', 'work', 'robust']",97
354,97,354_incentive_incentives_structure_change,"['incentive', 'incentives', 'structure', 'change', 'system', 'proceeding', 'lawyers', 'rewarded', 'come', 'stop']",97
244,96,244_naturalization_regulate_federal_interference,"['naturalization', 'regulate', 'federal', 'interference', 'government', 'power', 'supreme', 'alone', 'state', 'enforcement']",96
466,96,466_best_forget_pregnant_sample,"['best', 'forget', 'pregnant', 'sample', 'isn', 'time', 'mildest', 'shouldn', 'come', 'memory']",96
532,96,532_homeland_security_department_zdrosny,"['homeland', 'security', 'department', 'zdrosny', 'advisor', 'john', 'institute', 'commercial', 'director', 'guest']",96
346,95,346_latinos_harder_latino_hardest,"['latinos', 'harder', 'latino', 'hardest', 'minorities', 'pickers', 'assumed', 'cesar', 'group', 'chavez']",95
394,92,394_neighborhood_neighborhoods_live_store,"['neighborhood', 'neighborhoods', 'live', 'store', 'their', 'appalachia', 'wealthy', 'towns', 'proceeds', 'despair']",92
412,91,412_fraud_document_marriage_fake,"['fraud', 'document', 'marriage', 'fake', 'integrity', 'committed', 'freezed', 'widespread', 'commit', 'mild']",91
255,90,255_kelly_john_mark_megyn,"['kelly', 'john', 'mark', 'megyn', 'rancher', 'senator', 'masters', 'chief', 'gertz', 'padilla']",90
487,90,487_listen_show_write_listening,"['listen', 'show', 'write', 'listening', 'gonna', 'spent', 'legal', 'lot', 'emotional', 'facebook']",90
373,90,373_cards_debit_prepaid_pilot,"['cards', 'debit', 'prepaid', 'pilot', 'food', 'credit', 'program', 'city', '53', 'green']",90
483,87,483_bridge_collapsed_potholes_under,"['bridge', 'collapsed', 'potholes', 'under', 'rio', 'del', 'river', 'key', 'night', 'collapse']",87
403,86,403_knows_diverse_natural_banged,"['knows', 'diverse', 'natural', 'banged', 'hundreds', 'cause', 'wives', 'bullshit', 'harmless', 'hits']",86
519,84,519_docket_detained_roaming_non,"['docket', 'detained', 'roaming', 'non', 'proceedings', 'released', 'ordered', 'combined', 'homicide', 'caught']",84
365,84,365_shipping_ship_deeper_containers,"['shipping', 'ship', 'deeper', 'containers', 'shipped', 'duties', 'supply', 'them', 'florida', 'putting']",84
245,84,245_drivers_coming_truck_welders,"['drivers', 'coming', 'truck', 'welders', 'menial', 'illegally', 'tab', 'interaction', 'nurses', 'into']",84
240,81,240_undocumented_wasn_usually_moment,"['undocumented', 'wasn', 'usually', 'moment', 'ask', 'should', 'said', 'kidding', 'question', 'he']",81
194,81,194_ids_id_cards_identification,"['ids', 'id', 'cards', 'identification', 'issuing', 'issued', 'fake', 'without', 'card', 'leaked']",81
485,81,485_wisconsin_whitewater_senator_motivating,"['wisconsin', 'whitewater', 'senator', 'motivating', 'wausau', 'accident', 'pa', 'town', 'hmong', 'january']",81
551,80,551_langford_james_lankford_senator,"['langford', 'james', 'lankford', 'senator', 'oklahoma', 'bill', 'conservative', 'murphy', 'bipartisan', 'senate']",80
357,80,357_georgia_athens_atlanta_state,"['georgia', 'athens', 'atlanta', 'state', 'perdue', 'riley', 'collins', 'nevada', 'georgian', 'cotton']",80
232,80,232_soccer_fields_sports_suddenly,"['soccer', 'fields', 'sports', 'suddenly', 'kids', 'brooklyn', 'coaches', 'play', 'played', 'park']",80
251,78,251_animals_calls_seagull_referred,"['animals', 'calls', 'seagull', 'referred', 'animal', 'words', 'called', 'hunting', 'predecessor', 'trump']",78
429,78,429_dealing_do_paperwork_millions,"['dealing', 'do', 'paperwork', 'millions', 'with', 'diapers', 'convinced', 'demagoguery', 'reimplement', 'progress']",78
321,77,321_test_testing_tested_tests,"['test', 'testing', 'tested', 'tests', 'dna', 'sample', 'ideological', 'sobriety', 'eyeglasses', 'quarantine']",77
285,77,285_baby_formula_stacks_capacity,"['baby', 'formula', 'stacks', 'capacity', 'boomers', 'boom', 'stressed', 'pallets', 'shortage', 'babies']",77
247,77,247_migrant_worker_davis_retiree,"['migrant', 'worker', 'davis', 'retiree', 'mississippi', 'mike', 'victor', 'stereotype', 'factory', 'maine']",77
296,76,296_overstays_visa_overstayed_visas,"['overstays', 'visa', 'overstayed', 'visas', 'unauthorized', 'overstay', 'half', 'million', '12', 'jessica']",76
379,76,379_korea_north_china_korean,"['korea', 'north', 'china', 'korean', 'nuclear', 'south', 'peninsula', 'unified', 'instability', 'missile']",76
325,75,325_climate_change_justice_catastrophic,"['climate', 'change', 'justice', 'catastrophic', 'energy', 'tackle', 'issues', 'healthcare', 'accord', 'carbon']",75
297,75,297_lives_lost_told_their,"['lives', 'lost', 'told', 'their', 'immigrants', 'who', 'people', 'illegal', 'about', 'thought']",75
337,74,337_shaping_briefs_morning_america,"['shaping', 'briefs', 'morning', 'america', 'world', 'first', 'got', 'updates', 'four', 'update']",74
415,73,415_nicaragua_cuba_parole_haiti,"['nicaragua', 'cuba', 'parole', 'haiti', 'venezuela', '30', 'program', '360', 'per', '000']",73
299,72,299_undocumented_documented_disposable_utah,"['undocumented', 'documented', 'disposable', 'utah', 'immigrants', 'citizens', 'literature', 'aren', 'afraid', 'performance']",72
383,72,383_tear_gas_fired_agents,"['tear', 'gas', 'fired', 'agents', 'rocks', 'unsure', 'stormed', 'throwing', 'oil', 'firing']",72
516,71,516_sector_tucson_lukeville_miguel,"['sector', 'tucson', 'lukeville', 'miguel', 'patrol', 'rio', 'del', 'arizona', 'apprehended', '4000']",71
441,69,441_lessons_yelling_campuses_course,"['lessons', 'yelling', 'campuses', 'course', 'understood', 'college', 'learn', 'student', 'afraid', 'feels']",69
534,69,534_affected_heavily_disturbed_entering,"['affected', 'heavily', 'disturbed', 'entering', 'rightly', 'large', 'numbers', 'every', 'place', 'paint']",69
484,69,484_paying_rec_center_warm,"['paying', 'rec', 'center', 'warm', 'money', 'supposed', 'meanwhile', 'weren', 'costing', 'city']",69
523,68,523_shooting_semitic_please_anti,"['shooting', 'semitic', 'please', 'anti', 'countdown', 'nut', 'gun', 'stop', 'philo', 'neighbor']",68
327,68,327_drowned_deaths_river_drowning,"['drowned', 'deaths', 'river', 'drowning', 'texas', 'grande', 'access', 'rio', 'park', 'agents']",68
408,66,408_authority_exclude_executive_discretion,"['authority', 'exclude', 'executive', 'discretion', 'president', 'broad', 'branch', 'supreme', 'input', 'power']",66
312,66,312_notably_reacting_logic_louder,"['notably', 'reacting', 'logic', 'louder', 'disproportionately', 'confuse', 'sneaky', 'applying', 'irrespective', 'voice']",66
426,66,426_massachusetts_maura_state_governor,"['massachusetts', 'maura', 'state', 'governor', 'healy', 'boston', 'healey', 'housing', 'emergency', 'rec']",66
538,66,538_solve_solving_notion_solved,"['solve', 'solving', 'notion', 'solved', 'together', 'undocumented', 'problem', 'documentation', 'bunch', 'interested']",66
524,66,524_weren_indians_were_backgrounds,"['weren', 'indians', 'were', 'backgrounds', 'settled', 'poor', 'ranged', 'hyphenated', 'lot', 'grievances']",66
270,65,270_keystone_seriously_normal_immediately,"['keystone', 'seriously', 'normal', 'immediately', 'fracking', 'return', 'pipeline', 'allows', 'loss', 'immigration']",65
293,63,293_verify_mandatory_employers_businesses,"['verify', 'mandatory', 'employers', 'businesses', 'verification', 'toughest', 'prove', 'hire', 'system', 'carolina']",63
318,63,318_stimulus_checks_payments_background,"['stimulus', 'checks', 'payments', 'background', 'eligible', 'cash', 'relief', 'receive', 'package', 'backs']",63
330,63,330_bowser_muriel_mayor_dc,"['bowser', 'muriel', 'mayor', 'dc', 'washington', 'buses', 'guard', 'abbott', 'texas', 'lori']",63
269,61,269_bully_grocery_resettling_iran,"['bully', 'grocery', 'resettling', 'iran', 'uproar', 'pulpit', 'stores', 'content', 'europeans', 'bleeped']",61
356,61,356_percent_70_80_population,"['percent', '70', '80', 'population', 'math', '83', '75', 'refashioning', '20', '96']",61
414,61,414_morgan_commissioner_mark_acting,"['morgan', 'commissioner', 'mark', 'acting', 'customs', 'former', 'protection', 'jp', 'agency', 'foundation']",61
281,61,281_downside_no_weighing_upside,"['downside', 'no', 'weighing', 'upside', 'there', 'wealthier', 'won', 'drawback', 'securing', 'why']",61
528,60,528_travel_ban_authority_nationality,"['travel', 'ban', 'authority', 'nationality', 'statute', 'court', 'upheld', 'act', 'president', 'presidential']",60
535,60,535_consensus_bipartisan_substantive_spanish,"['consensus', 'bipartisan', 'substantive', 'spanish', 'irresponsible', 'politicians', 'proper', 'documentation', 'improve', 'responsible']",60
310,59,310_nigerian_nigeria_household_reparations,"['nigerian', 'nigeria', 'household', 'reparations', 'successful', 'average', 'born', 'supremacist', 'united', 'income']",59
496,59,496_deals_aisle_jackson_acknowledge,"['deals', 'aisle', 'jackson', 'acknowledge', 'needs', 'comprehensive', 'broken', 'pass', 'migration', 'am']",59
309,59,309_obrador_lopez_manuel_andres,"['obrador', 'lopez', 'manuel', 'andres', 'amlo', 'mexico', 'president', 'guatemala', 'gia', 'mattia']",59
353,58,353_town_varying_cities_degrees,"['town', 'varying', 'cities', 'degrees', 'displayed', 'standpoint', 'firmly', 'congregates', '672', 'efficiency']",58
547,58,547_activist_activists_groups_teach,"['activist', 'activists', 'groups', 'teach', 'alliance', 'evade', 'ceremonies', 'protesters', 'monitored', 'rights']",58
430,57,430_libs_hypocrisy_owning_abiding,"['libs', 'hypocrisy', 'owning', 'abiding', 'williamsburg', 'neighborhoods', 'pawns', 'vineyard', 'stations', 'martha']",57
209,57,209_swazi_tom_swasey_swazee,"['swazi', 'tom', 'swasey', 'swazee', 'district', 'nassau', 'opponent', 'moderate', 'attacked', 'pillip']",57
506,57,506_numbers_matters_fascinating_digits,"['numbers', 'matters', 'fascinating', 'digits', 'timeout', 'ebb', 'dropped', '177', 'dig', 'deeper']",57
390,56,390_prove_clip_600_difficult,"['prove', 'clip', '600', 'difficult', 'arguments', 'million', '11', 'says', 'defensively', 'equations']",56
536,56,536_reagan_ronald_1986_signed,"['reagan', 'ronald', '1986', 'signed', 'reform', 'amnesty', 'act', '86', 'lesbian', 'control']",56
525,56,525_visual_spoken_camped_thousands,"['visual', 'spoken', 'camped', 'thousands', 'seen', 'presence', 've', 'real', 'images', 'matamoros']",56
300,55,300_shooter_synagogue_pittsburgh_shooting,"['shooter', 'synagogue', 'pittsburgh', 'shooting', 'buffalo', 'hebrew', 'jews', 'anti', 'online', 'shooters']",55
277,55,277_wanting_met_he_partners,"['wanting', 'met', 'he', 'partners', 'plus', 'ecuador', 'migrants', 'facility', 'firebombing', 'argues']",55
507,54,507_sue_sued_yourself_heavens,"['sue', 'sued', 'yourself', 'heavens', 'generals', 'lawsuits', 'range', 'suing', 'ask', 'immediately']",54
348,54,348_pause_button_pressed_pin,"['pause', 'button', 'pressed', 'pin', 'beneficial', 'politicization', 'quantity', 'eventually', 'simpler', 'moat']",54
340,54,340_doj_spacex_poorly_victor,"['doj', 'spacex', 'poorly', 'victor', 'rolls', 'wimps', '159', 'boeing', 'lawsuits', 'filing']",54
467,54,467_tiny_fraction_laredo_texas,"['tiny', 'fraction', 'laredo', 'texas', 'penis', 'sectors', 'freaking', '850', 'valley', 'died']",54
