Topic,Count,Name,Representation,Representative_Docs
9,984,9_vineyard_martha_desantis_ron,"['vineyard', 'martha', 'desantis', 'ron', 'florida', 'governor', '50', 'sent', 'massachusetts', 'island']","[""Martha's Vineyard has a population between 20 and 30 thousand people. And when Governor Ron DeSantis sent 50, five zero illegal immigrants to Martha's Vineyard, they freaked out. They declared an emergency."", ""So by now you've likely heard that a group of about 50 migrants was flown to Martha's Vineyard. That's a stunt that Florida Governor Ron DeSantis took credit for."", ""illegal immigrants here in Martha's Vineyard. Now, as you know, about six months later, Ron DeSantis followed what I had suggested and he had 50 illegal immigrants to Martha's Vineyard.""]"
10,823,10_title_42_pandemic_expel,"['title', '42', 'pandemic', 'expel', 'era', 'health', 'public', 'covid', 'expelled', 'end']","[""But let's get to Title 42 for a second. Under Title 42, authorities are allowed to turn away asylum seekers as part of an effort"", 'immigration. But how is how is Title 42?', 'So because Title 42 is not an immigration law,']"
11,833,11_texas_state_court_federal,"['texas', 'state', 'court', 'federal', 'law', 'abbott', 'supreme', 'arrest', 'governor', 'sb4']","['The U .S. Supreme Court ruling that a controversial Texas law can take effect, allowing local and state police to arrest migrants suspected of crossing into Texas illegally and state judges to deport them. What will this law mean for federal border patrol agents?', ""And I want people to understand what this allows Texas to do. The Supreme Court is saying we're going to allow the law, right, that would allow the Texas National Guard to arrest and deport illegal aliens within the state of Texas. How would that work and play out?"", ""We assume they're not gonna be happy about this after they went to the Supreme Court recently and asked the Supreme Court to put a stay or a pause on this Texas law. It was called SB4 and it would allow Texas state officials to arrest people suspected of illegal immigration. Texas Governor Greg Abbott says it is a necessary tool to fight this crisis at the southern border with people illegally crossing from Mexico into the United States, specifically into Texas, although the Biden administration said that it's up to federal officials to make such arrests and up to Border Patrol.""]"
12,772,12_haitian_haiti_haitians_del,"['haitian', 'haiti', 'haitians', 'del', 'rio', 'bridge', 'migrants', '000', 'town', 'temporary']","['Haitian immigrants', 'Haitian immigrants', 'Haitian migrants.']"
13,964,13_talk_debate_about_ll,"['talk', 'debate', 'about', 'll', 'let', 'immigration', 'discussion', 'break', 'conversation', 'quick']","['I want to talk about immigration.', 'talk about illegal immigration', 'talk about immigration']"
14,997,14_reform_comprehensive_congress_immigration,"['reform', 'comprehensive', 'congress', 'immigration', 'need', 'pass', 'done', 'decades', 'legislation', 'security']","['a comprehensive immigration reform.', 'comprehensive immigration reform', 'immigration reform, comprehensive immigration reform.']"
15,887,15_issue_issues_problem_problems,"['issue', 'issues', 'problem', 'problems', 'immigration', 'big', 'think', 'huge', 'button', 'hot']","['Is the immigration issue.', 'Immigration is that issue.', 'These issues, this immigration issue,']"
16,720,16_murdered_girl_old_raped,"['murdered', 'girl', 'old', 'raped', 'riley', 'killed', 'alien', 'georgia', 'lake', 'year']","['Lakin Riley was killed by an illegal immigrants that you and Joe Biden released. Was that a mistake to release that immigrant. Rachel Marin was raped and murdered by an illegal immigrant that you and Joe Biden released.', 'Lakin Riley was killed by an illegal immigrant that you and Joe Biden released. Was that a mistake to release that immigrant? Rachel Marin was raped and murdered by an illegal immigrant that you and Joe Biden released.', ""This 13 year old girl in New York would not have been raped if Joe Biden and the Democrats hadn't kept letting illegal immigrants go. Rachel Marin in suburban Maryland would be alive, a mother of five, raped and murdered by an illegal immigrant Joe Biden and the Democrats released. Lakin Riley, 22, nursing student, would be alive if not for the illegal immigrants that Joe Biden and the Democrats released.""]"
17,633,17_migrants_these_coming_complain,"['migrants', 'these', 'coming', 'complain', 'come', 'voluntarily', 'them', 'send', 'they', 'here']","['the migrants.', 'the migrants', 'the migrants,']"
18,731,18_health_care_healthcare_free,"['health', 'care', 'healthcare', 'free', 'medicare', 'obamacare', 'insurance', 'give', 'universal', 'raised']","['undocumented immigrants get health care. Come on.', 'give health care to illegal immigrants,', 'health care for illegal aliens.']"
19,714,19_children_unaccompanied_kids_minors,"['children', 'unaccompanied', 'kids', 'minors', 'parents', 'migrant', 'separation', 'child', 'custody', 'separating']","['children of illegal immigrants.', 'migrants, migrant children', 'migrant children?']"
20,743,20_mexico_remain_mexican_asylum,"['mexico', 'remain', 'mexican', 'asylum', 'protocols', 'policy', 'seekers', 'wait', 'protection', 'southern']","['Speaking of immigration policy. So listeners of the show probably remember the Trump remain in Mexico immigration policy. That was the policy that required asylum seekers at the southern border to remain in Mexico while U .S.', 'migrant protection protocols that remain in mexico policy', ""Ultimately, the amount of migrants started to decrease. And we learned from these migrants, they didn't want to remain in Mexico. Under Donald Trump's policy, the remain in Mexico policy or the migrant protection protocols, any migrant that crossed through Mexico to come to the U .S.""]"
21,703,21_wall_build_building_walls,"['wall', 'build', 'building', 'walls', 'built', 'trump', 'border', 'didn', 'he', 'stop']","['and they were talking about immigration. They were talking about the wall.', 'wall because another migrant', ""I mean, the wall is actually not racist. If you think about a wall—OK, if you've got an illegal immigration problem, you decide to build a wall,""]"
22,866,22_laws_law_enforce_federal,"['laws', 'law', 'enforce', 'federal', 'enforcing', 'enforcement', 'enforced', 'local', 'books', 'immigration']","['immigration laws.', ""immigration laws. He doesn't want you to enforce"", 'If you do not enforce the laws, we do not have immigration laws.']"
23,744,23_refugees_refugee_countries_welcome,"['refugees', 'refugee', 'countries', 'welcome', 'world', 'help', 'fleeing', 'take', 'welcoming', 'are']","['refugees?', 'refugees.', 'the refugees']"
24,775,24_million_11_10_20,"['million', '11', '10', '20', 'illegals', 'number', 'aliens', '12', '30', 'half']","['million immigrants,', ""the number of legal immigrants in the country is not 11 million. It's more like 20"", ""You're going to have a million. You're going to have a million illegals in the country this""]"
25,801,25_encounters_month_000_record,"['encounters', 'month', '000', 'record', 'gotaways', 'december', 'apprehended', 'encountered', 'apprehensions', 'year']","['Now border states are currently contending with the highest rates of illegal migrant encounters on record. In December, Border Patrol officials recorded 300 ,000 migrant encounters or an average of 8 ,400 apprehensions each day.', ""U .S. Border Patrol agents recorded more than 300 ,000 illegal migrant encounters in December of 2023, and that marked an all -time record for encounters in a single month. It's estimated that by the end of September of this year, more than 8 million illegal immigrants will be living inside the U .S."", 'U .S. Border Patrol agents recorded more than 300 ,000 illegal migrant encounters in December of 2023. That marked an all -time record for encounters in a single month.']"
26,626,26_judges_court_courts_supreme,"['judges', 'court', 'courts', 'supreme', 'cases', 'judge', 'backlog', 'case', 'justices', 'justice']","[""So yeah, there's two groups of folks that make decisions right now. We're called asylum officers, they work for DHS, and you've got immigration judges that work for the Department of Justice. The immigration judges are not judges, that is their title, but they're not judges."", '- As immigration judges.', 'immigration judges']"
27,693,27_abbott_greg_governor_buses,"['abbott', 'greg', 'governor', 'buses', 'texas', 'bus', 'busing', 'sending', 'washington', 'cities']","['other Republican governors like Governor Greg Abbott in Texas for moving illegal aliens out of their state.', 'The mayor of Chicago says Governor Greg Abbott is manufacturing a human crisis. Abbott has been busing migrants to other major cities like New York, D .C. and Chicago.', 'Governor Greg Abbott of Texas is sending illegal migrants']"
28,614,28_policy_purpose_policies_immigration,"['policy', 'purpose', 'policies', 'immigration', 'foreign', 'bidder', 'sale', 'interests', 'our', 'improve']","['immigration policy,', 'Immigration policy', 'immigration policy.']"
29,490,29_school_schools_students_education,"['school', 'schools', 'students', 'education', 'kids', 'teachers', 'english', 'teach', 'public', 'teaching']","['public school kids out of their schools, sent them to remote learning to house migrants', ""education dollars from the US Department of Education and basically say to every school district, we're going to take your money away if you don't kick these immigrant kids out of your schools. And it kind"", ""education dollars from the US Department of Education and basically to every school district, we're going to take your money away if you don't kick these immigrant kids out of your schools. And it""]"
30,568,30_covid_pandemic_19_positive,"['covid', 'pandemic', '19', 'positive', 'virus', 'tested', 'coronavirus', 'spreading', 'disease', 'spread']","['immigration. How many have you released that were COVID positive?', 'illegal aliens during COVID.', 'to immigration, illegal immigration and the COVID -19 pandemic.']"
31,606,31_sanctuary_cities_city_jurisdictions,"['sanctuary', 'cities', 'city', 'jurisdictions', 'federal', 'york', 'enforcement', 'law', 'policies', 'chicago']","['This is now on sanctuary cities. This is now on immigration policy.', 'sanctuary for immigrants.', 'the sanctuary cities for illegal immigrants.']"
32,480,32_caravan_caravans_migrant_mexico,"['caravan', 'caravans', 'migrant', 'mexico', 'midterms', '2018', 'honduras', 'heading', 'southern', 'guatemala']","[""migrant caravan is at the border. What's going on?"", 'migrant caravan was', 'migrant caravan, but']"
33,471,33_afghan_afghanistan_afghans_taliban,"['afghan', 'afghanistan', 'afghans', 'taliban', 'refugees', 'special', 'withdrawal', 'visa', 'visas', 'allies']","['a majority of Afghan refugees. I have worked with Afghans.', 'We have three million Afghan refugees here.', ""It's not just here. But this is with Afghan refugees.""]"
34,487,34_ice_abolish_enforcement_customs,"['ice', 'abolish', 'enforcement', 'customs', 'agency', 'agents', 'arrest', 'detention', 'deport', 'custody']","[""Oh, so you're going to abolish ICE to create, you know, immigration and customs enforcement, right? Abolish ICE so you can create a new ICE that does the same thing that the old ICE did because that is necessary."", ""It's immigration, customs, enforcement, ICE."", 'ICE, Immigration']"
35,454,35_party_republican_issues_trade,"['party', 'republican', 'issues', 'trade', 'anti', 'inflation', 'voters', 'democratic', 'things', 'abortion']","[""I mean, the Republican Party was Lincoln's party. It used to be a pro -freedom, anti -slavery, pro -immigration, anti -know -nothing progressive party in the American political context. And today there are no enemies on the right at all to speak of."", ""Like if you're a legal immigrant, you know who your party is. Your party is the Democratic party."", ""and that version of the gop the pre -trump version was really embodied by nicky hailey in her attempt to challenge trump in the primaries and it was amazing glenn because she outspent trump two to one and honestly it made me feel so much better about citizens united because it got her nowhere i mean just the sheer force of the will of the people was able to make the fact that the entire donor class of the republican party which you're right they only care about tax cuts they all backed hailey and trump still ran away with it by leaps and bounds because our democracy is actually really healthy it turns out you know like if you're really popular there's a really good chance you're gonna win so i i thought that was great i mean what however you feel about donald trump i just think that you know you have to admit he does seem to prove that our democracy is functioning really well um about that tax cut you know when you ask working and middle class people about it they don't talk about the money the corporations got they talk about the money they got and it's true that the rich got the largest amount of money from that tax cut but they got the lowest percentages it was actually working class and middle class people who got between 15 and 35 percent in terms of money back of course that's you know if you're a billionaire and you're getting five percent back it's going to be a lot more than what a middle class person gets back but working class and middle class people will talk again and again about how trump and his economy put money back in their pockets and honestly you know when you have 35 dollars in your bank account you know you can't really afford to be wrong about which president is doing better for you economically if you're part of the elites and you've got you know 100 000 dollars or 50 000 dollars and a really nice you know real estate portfolio you know you can afford to be wrong as the vast majority of economists are um but these people i think that there's something just really really disgusting about assuming that somebody with such little of a cushion which the majority of americans don't have 400 dollars to rub together um would be wrong about something like this they really saw trump as an alternative to the gop um and so the question to me is whether the gop understands that and whether after trump they're going to keep doing what he did which was taken axe to the neoliberal order or if they're just going to try to go back to the nickie ailey version um i all signs point to that you know like they the donor class really is really ready for trump to go away they hate him as much as the democratic party does so i'm not very hopeful but um i'll tell you something interesting the most common combination of views that i found among working -class people and again this is whether they vote for democrats or republicans was first of all everyone i spoke to was extremely pro -gay and extremely worried about trans so they don't see lgbt like everybody i met including very religious christians said to me something like you know i you know i believe gay people should be treated with respect a lot of people i met had a gay person in their life who they wanted to be treated with dignity they were extremely worried and extremely upset about trans athletes and women's sports trans people in women's bathrooms and children being taught about sexuality at a young age and this was again whether they were democrats or republicans um they were very very suspicious of welfare most people knew people who they felt were scamming the system but they supported raising taxes on corporations and the most interesting thing was the vast majority of people i interviewed whether they were republicans or democrats supported basically a total moratorium on immigration for the foreseeable future but also government -backed health care so you could see how each party has like a piece of the pie is then like actively undermining the other piece of it and so the question is like who's more likely to get to that combination of expanding health care and limiting immigration honestly i don't see either party giving up because they're each side's donor base is so invested in the view that is anathema to the republican to to the working class either the democrats by opening the border or the republicans by refusing to talk about health""]"
36,409,36_census_counted_seats_count,"['census', 'counted', 'seats', 'count', 'congressional', 'apportionment', 'electoral', 'question', 'representation', 'seat']","[""of illegal immigrants, because they're counted on the census."", 'you know that because the way that they count illegal immigrants in the census,', 'you know that because of the way that they count illegal immigrants in the census,']"
37,574,37_ukrainian_ukraine_refugees_ukrainians,"['ukrainian', 'ukraine', 'refugees', 'ukrainians', 'war', 'russia', 'russian', 'fled', 'hungary', 'poland']","['Ukrainian refugees?', 'Ukrainian refugees,', 'have all these refugees coming out of Ukraine,']"
38,452,38_term_alien_word_undocumented,"['term', 'alien', 'word', 'undocumented', 'use', 'code', 'aliens', 'illegal', 'used', 'say']","['OK, the word is illegal. The term is illegal alien. They can they can change the term if they want.', ""That's why they don't use the term illegal alien. That's why they use the term migrant."", 'use the term illegal alien']"
39,420,39_brexit_britain_british_uk,"['brexit', 'britain', 'british', 'uk', 'labour', 'farage', 'nigel', 'conservatives', 'party', 'boris']","[""And it's an interesting one for a Conservative government to be doing because I guess most of the Brexit voters or many, many of people who voted Brexit were doing so to reduce immigration. Immigration was a big issue for them. Absolutely."", 'post -Brexit immigration rules mean EU citizens can no longer live and work visa -free in Britain and they could when the UK was a member of the', ""But it is a big change in the composition of Britain. And it's an interesting one for a Conservative government to be doing because I guess most of the Brexit voters or many, many of people who voted Brexit were doing so to reduce immigration. Immigration was a big issue for them.""]"
40,536,40_adams_eric_mayor_city,"['adams', 'eric', 'mayor', 'city', 'york', 'new', 'crisis', 'apple', 'governor', 'sanctuary']","['He has now allowed illegal immigrants to vote in your city, New York City. And Mayor Eric Adams has not changed that.', ""Mayor Eric Adams says they're looking to house migrants in"", 'mean, look at New York City. Look at the migrants. Eric Adams is']"
41,364,41_daca_recipients_deferred_childhood,"['daca', 'recipients', 'deferred', 'childhood', 'arrivals', 'action', 'program', 'obama', 'permanent', 'protected']","['They focused on DACA and they had the video of kids who came here and were able to stay under DACA. So it was sort of a Democratic view on immigration.', 'of this immigration reform, DACA talk and border security and all that.', 'immigration security, DACA, all of that.']"
42,495,42_latino_hispanic_latinos_voters,"['latino', 'hispanic', 'latinos', 'voters', 'hispanics', 'vote', 'community', 'univision', 'among', 'issue']","[""Let's talk about the Latino vote. Right leaning Latino groups say that a lot of Hispanics actually like Trump's talk about immigration"", 'Obviously, immigration is not the only issue that matters to Latino voters, but there is a large Latino population in Texas.', 'In 2012, when Obama did so well with Latino voters, the most important issue with the Latino voters in our polling was not immigration.']"
43,366,43_fentanyl_drugs_overdoses_drug,"['fentanyl', 'drugs', 'overdoses', 'drug', 'cartels', 'across', 'opioid', 'dying', 'border', 'die']","['Fentanyl this. Immigrants that. All this stuff, right?', 'What do you, what is the issue of immigration mean for your people? Is it the fentanyl?', 'illegal immigration coming across the border, fentanyl.']"
44,344,44_cuban_cuba_cubans_miami,"['cuban', 'cuba', 'cubans', 'miami', 'castro', 'florida', 'refugees', 'venezuela', 'pigs', 'tampa']","['your point about what the Cuban refugees did', ""He's a Cuban immigrant"", 'a Cuban immigrant']"
45,410,45_hotel_hotels_rooms_city,"['hotel', 'hotels', 'rooms', 'city', 'york', 'star', 'room', 'new', 'roosevelt', 'staying']","[""Also, we spoke yesterday about the illegals in the hotels. 20 % of hotel rooms in New York City are for illegals, basically are part of this program where they're housing illegal immigrants in these hotels."", ""it's difficult to get a hotel room because they have given with your tax dollars so many migrants the opportunity to stay in three and four -star hotels that it's hard to find a hotel to stay in in New York City right now during the summer. 20 % of hotels"", 'you have illegal immigrants in a hotel, and']"
46,326,46_venezuela_venezuelan_venezuelans_sanctions,"['venezuela', 'venezuelan', 'venezuelans', 'sanctions', 'colombia', 'maduro', 'from', 'oil', 'countries', 'regime']","['of Venezuelan migrants here', 'For Venezuelan migrants,', 'migrant here from Venezuela.']"
47,314,47_blood_poisoning_hitler_adolf,"['blood', 'poisoning', 'hitler', 'adolf', 'vermin', 'language', 'quote', 'poison', 'trump', 'poisoned']","['saying that immigrants are poisoning the blood of America, which is very similar to a line that Adolf Hitler talked about, poisoning the blood.', 'When you say immigrants are poisoning the blood of the country', 'that immigrants are poisoning the blood of the country.']"
48,283,48_vaccine_vaccinated_mandate_vaccines,"['vaccine', 'vaccinated', 'mandate', 'vaccines', 'covid', 'unvaccinated', 'mask', 'mandates', 'vaccination', 'wear']","[""Just think about this. Illegals don't have to get the vaccine."", ""We catch you at the border. We're not going to give you a vaccine, but we're going to mandate that American citizens get the vaccine but not illegal immigrants."", ""We're not going to give you a vaccine. But we're going to mandate that American citizens get the vaccine, but not illegal immigrants.""]"
49,366,49_syrian_syria_refugees_refugee,"['syrian', 'syria', 'refugees', 'refugee', 'assad', 'syrians', 'isis', 'iraq', 'crisis', 'europe']","['the Syrian immigration.', 'about a Syrian refugee.', 'Syrian refugees.']"
50,421,50_crisis_southern_border_humanitarian,"['crisis', 'southern', 'border', 'humanitarian', 'manufactured', 'our', 'disaster', 'security', 'at', 'we']","['the immigration crisis?', 'the immigration crisis.', ""the crisis it's not a border crisis not immigration crisis it's a crisis""]"
51,444,51_abortion_economy_issues_issue,"['abortion', 'economy', 'issues', 'issue', 'rights', 'abortions', 'swing', 'women', 'voters', 'crime']","[""Well, number one or number two is not abortion. It's crime and immigration. The three is abortion."", 'immigration, abortion,', 'abortion, immigration,']"
52,290,52_fema_hurricane_money_disaster,"['fema', 'hurricane', 'money', 'disaster', 'relief', 'funds', 'helene', 'stole', 'carolina', 'spent']","[""migrants over the past couple of years. Secretary Mayorkas says that FEMA doesn't have the money for the rest of hurricane season, but FEMA has had the money to spend $1 .4 billion on migrants."", ""You're a member of the House Budget Appropriations Committee, a very important committee. Can you help us with the disinformation about FEMA, FEMA money to hurricane victims, FEMA stealing land, FEMA resettling migrants not paying for hurricane relief?"", 'FEMA money went to immigrants.']"
53,447,53_my_parents_dad_father,"['my', 'parents', 'dad', 'father', 'son', 'grandparents', 'immigrant', 'came', 'mother', 'grandfather']","['My parents are immigrants.', ""it is an immigrant story. I'm an immigrant. My parents are immigrant."", 'my immigrant parents know']"
54,587,54_york_new_city_chicago,"['york', 'new', 'city', 'chicago', 'migrants', 'mayor', '000', '67', 'post', 'streets']","['New York City is a city of immigrants. Right.', 'migrants in New York City.', 'migrants in New York City.']"
55,398,55_housing_prices_houses_increases,"['housing', 'prices', 'houses', 'increases', 'competing', 'homes', 'home', 'rent', 'blame', 'supply']","[""We don't want to blame immigrants for higher housing prices, but we do want to blame Kamala Harris for letting in millions of illegal aliens in this country, which does drive up cost, Tim. 25 million illegal aliens competing with Americans for scarce homes is one of the most significant drivers of home prices in the country. It's why we have massive increases in home prices that have happened right alongside massive increases in illegal alien populations under Kamala Harris's leadership."", ""We don't want to want to blame immigrants for higher housing prices, but we do want to blame Kamala Harris for letting in millions of illegal aliens in this country, which does drive up costs, Vance said at Tuesday evening's vice presidential debate. Twenty five million illegal aliens are competing with Americans for houses, for homes, and it's one of the most significant drivers of home prices in the country. It's why we have massive increases in home prices and have happened right alongside massive increases in illegal alien populations under Kamala Harris's leadership."", ""Vance is correct when he says immigration increases, increases housing prices for Americans. We don't want to want to blame immigrants for higher housing prices, but we do want to blame Kamala Harris for letting in millions of illegal aliens in this country, which does drive up costs, Vance said at Tuesday evening's vice presidential debate. Twenty five million illegal aliens are competing with Americans for houses, for homes, and it's one of the most significant drivers of home prices in the country.""]"
